province,constituency,amphoe,tambon,unit,form_type,eligible_voters,turnout,ballots_allocated,ballots_used,valid_ballots,spoiled_ballots,abstain_ballots,ballots_remaining,val_total_votes_in_table,val_effective_vote_sum,val_valid_ballots,val_vote_diff,กล้าธรรม_votes,กล้าธรรม_votes_th,ภูมิใจไทย_votes,ภูมิใจไทย_votes_th,เพื่อไทย_votes,เพื่อไทย_votes_th,ประชาชน_votes,ประชาชน_votes_th,ไทรวมพลัง_votes,ไทรวมพลัง_votes_th,ประชาธิปไตยใหม่_votes,ประชาธิปไตยใหม่_votes_th,พลังประชารัฐ_votes,พลังประชารัฐ_votes_th,ประชาธิปัตย์_votes,ประชาธิปัตย์_votes_th,เศรษฐกิจ_votes,เศรษฐกิจ_votes_th,ไทยก้าวใหม่_votes,ไทยก้าวใหม่_votes_th
อุบลราชธานี,2,อำเภอเขื่องใน,ตำบลชีทวน,8,constituency,329,205,320,205,203,2,0,115,201,201,203,-2,72,74,0,0,8,8,11,0,107,0,0,0,1,1,0,0,2,2,0,0
อุบลราชธานี,2,อำเภอเขื่องใน,ตำบลชีทวน,9,constituency,260,170,260,170,162,4,4,90,162,162,162,0,112,0,1,1,1,1,5,5,42,42,0,0,1,1,0,0,0,0,0,0
อุบลราชธานี,2,อำเภอเขื่องใน,ตำบลท่าไห,1,constituency,546,193,540,193,176,6,1,347,136,136,176,-40,114,0,0,0,1,1,9,9,12,12,0,0,0,0,0,0,0,0,0,0
อุบลราชธานี,2,อำเภอเขื่องใน,ตำบลท่าไห,10,constituency,693,301,680,301,280,20,1,379,280,280,280,0,78,78,2,2,3,3,19,19,177,0,0,0,0,0,0,0,1,1,0,0
อุบลราชธานี,2,อำเภอเขื่องใน,ตำบลท่าไห,11,constituency,579,263,580,263,248,11,4,317,248,248,248,0,86,86,6,6,4,4,6,6,142,0,0,0,0,0,1,1,3,3,0,0
อุบลราชธานี,2,อำเภอเขื่องใน,ตำบลท่าไห,12,constituency,651,242,640,242,237,3,2,398,237,237,237,0,50,50,1,1,6,6,9,9,166,0,2,2,0,0,0,0,2,2,1,1
อุบลราชธานี,2,อำเภอเขื่องใน,ตำบลท่าไห,3,constituency,500,219,520,219,207,1,1,301,209,209,207,2,80,80,2,2,3,3,11,0,106,0,0,0,0,0,1,1,5,5,1,1
อุบลราชธานี,2,อำเภอเขื่องใน,ตำบลท่าไห,5,constituency,569,321,560,321,309,9,3,239,309,309,309,0,99,99,0,0,6,6,21,0,180,0,2,2,0,0,0,0,1,1,0,0
อุบลราชธานี,2,อำเภอเขื่องใน,ตำบลท่าไห,7,constituency,512,225,500,225,214,11,0,275,214,214,214,0,112,0,2,2,4,4,8,8,88,808,0,0,0,0,0,0,0,0,0,0
อุบลราชธานี,2,อำเภอเขื่องใน,ตำบลท่าไห,8,constituency,591,297,560,297,287,10,4,263,295,295,287,8,107,0,2,2,5,5,19,19,157,0,2,2,0,0,0,0,3,3,0,0
อุบลราชธานี,2,อำเภอเขื่องใน,ตำบลท่าไห,9,constituency,404,,420,209,201,6,2,211,201,201,201,0,77,77,1,1,5,5,12,12,104,0,0,0,0,0,1,1,1,1,0,0
อุบลราชธานี,2,อำเภอเขื่องใน,ตำบลธาตุน้อย,1,constituency,525,283,520,283,270,8,5,237,310,310,270,40,131,0,44,44,9,9,26,26,97,97,1,1,0,0,0,0,2,2,0,0
อุบลราชธานี,2,อำเภอเขื่องใน,ตำบลธาตุน้อย,10,constituency,684,494,680,407,387,11,5,276,388,388,387,1,99,99,1,1,4,4,11,0,273,273,0,0,0,0,0,0,0,0,0,0
อุบลราชธานี,2,อำเภอเขื่องใน,ตำบลธาตุน้อย,3,constituency,753,459,740,459,442,14,3,581,442,442,442,0,101,0,1,1,5,5,11,0,317,317,3,3,0,0,2,2,1,1,1,1
อุบลราชธานี,2,อำเภอเขื่องใน,ตำบลธาตุน้อย,4,constituency,296,177,280,197,169,5,3,103,169,169,169,0,66,66,1,1,1,1,5,5,96,96,0,0,0,0,0,0,0,0,0,0
อุบลราชธานี,2,อำเภอเขื่องใน,ตำบลธาตุน้อย,6,constituency,316,190,300,190,179,5,6,110,179,179,179,0,60,60,0,0,4,4,17,17,96,96,0,0,0,0,1,1,1,1,0,0
อุบลราชธานี,2,อำเภอเขื่องใน,ตำบลธาตุน้อย,7,constituency,210,210,360,210,197,10,3,150,196,196,197,-1,81,0,1,1,1,1,14,14,99,99,0,0,0,0,0,0,0,0,0,0
อุบลราชธานี,2,อำเภอเขื่องใน,ตำบลธาตุน้อย,8,constituency,640,406,640,406,388,16,2,234,386,386,388,-2,87,87,4,4,17,17,32,342,240,640,1,1,1,1,2,2,2,2,0,0
อุบลราชธานี,2,อำเภอเขื่องใน,ตำบลธาตุน้อย,9,constituency,553,333,550,333,323,9,1,207,333,333,323,10,191,0,9,9,4,4,9,9,117,0,0,0,0,0,1,1,2,2,0,0
อุบลราชธานี,2,อำเภอเขื่องใน,ตำบลนาคำใหญ่,1,constituency,422,762,420,262,258,4,0,158,252,252,258,-6,120,0,4,4,1,1,7,7,118,0,0,0,0,0,0,0,2,2,0,0
อุบลราชธานี,2,อำเภอเขื่องใน,ตำบลนาคำใหญ่,3,constituency,115,73,100,73,72,4,1,27,63,63,72,-9,13,13,1,1,1,1,3,3,43,0,0,0,1,1,1,1,0,0,0,0
