province,province_number,district,subdistrict,station_number,บช_ก้าวไกล,บช_ชาติพัฒนากล้า,บช_ชาติไทยพัฒนา,บช_บัตรเสีย,บช_ประชาชาติ,บช_ประชาธิปัตย์,บช_ผู้มาใช้สิทธิ์,บช_ผู้มีสิทธิ์,บช_พลังประชารัฐ,บช_ภูมิใจไทย,บช_รวมไทยสร้างชาติ,บช_เพื่อไทย,บช_เสรีรวมไทย,บช_ไทยสร้างไทย,บช_ไม่เลือกผู้ใด
อุบลราชธานี,2,เขื่องใน,หัวดอน,6.0,79,0,0,18,0,54,322,525,0,4,12,113,4,2,2
อุบลราชธานี,2,เขื่องใน,หัวดอน,7.0,90,0,0,18,0,36,331,554,1,3,27,122,4,1,0
อุบลราชธานี,2,เขื่องใน,หัวดอน,8.0,38,0,0,2,0,10,122,176,0,0,2,56,0,0,0
อุบลราชธานี,2,เขื่องใน,หัวดอน,9.0,140,0,1,17,3,106,554,793,2,1,28,187,2,0,2
อุบลราชธานี,2,เขื่องใน,เขื่องใน,1.0,99,0,1,16,2,106,426,587,3,4,13,140,4,5,2
อุบลราชธานี,2,เขื่องใน,เขื่องใน,2.0,44,0,1,17,0,79,236,375,3,3,8,57,1,0,2
อุบลราชธานี,2,เขื่องใน,เขื่องใน,3.0,143,0,0,14,1,93,437,544,5,7,40,85,7,6,10
อุบลราชธานี,2,เขื่องใน,เขื่องใน,4.0,130,0,0,11,1,48,423,579,4,3,45,125,6,3,12
อุบลราชธานี,2,เขื่องใน,เขื่องใน,5.0,200,2,0,12,0,42,446,563,4,4,37,116,6,0,6
อุบลราชธานี,2,เขื่องใน,เขื่องใน,6.0,89,0,1,11,0,108,345,474,1,1,16,79,1,1,7
อุบลราชธานี,2,เขื่องใน,เขื่องใน,7.0,116,0,0,16,1,75,381,481,5,2,36,90,5,1,5
อุบลราชธานี,2,เขื่องใน,เขื่องใน,8.0,199,1,0,17,2,150,573,703,1,5,43,105,6,2,5
อุบลราชธานี,2,เขื่องใน,เขื่องใน,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
อุบลราชธานี,2,เขื่องใน,เขื่องใน,10.0,147,1,0,30,3,124,615,903,2,13,26,204,2,6,2
อุบลราชธานี,2,เขื่องใน,เขื่องใน,11.0,32,1,0,3,0,29,112,140,1,1,1,36,0,0,0
อุบลราชธานี,2,เขื่องใน,เขื่องใน,12.0,129,2,0,38,1,90,495,726,3,1,42,145,1,1,3
อุบลราชธานี,2,เขื่องใน,เขื่องใน,13.0,78,1,0,23,3,59,342,521,1,3,30,92,3,1,2
อุบลราชธานี,2,เขื่องใน,เขื่องใน,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
อุบลราชธานี,2,เขื่องใน,เขื่องใน,3.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
อุบลราชธานี,2,เขื่องใน,เขื่องใน,4.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
อุบลราชธานี,2,เขื่องใน,เขื่องใน,5.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
อุบลราชธานี,2,เขื่องใน,เขื่องใน,6.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
อุบลราชธานี,2,เขื่องใน,เขื่องใน,7.0,81,0,1,11,0,71,0,0,2,2,13,66,3,2,6
อุบลราชธานี,2,เขื่องใน,เขื่องใน,8.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
อุบลราชธานี,2,เขื่องใน,เขื่องใน,9.0,81,0,1,11,0,71,278,407,2,2,13,66,3,2,6
อุบลราชธานี,2,เขื่องใน,แดงหม้อ,1.0,90,0,0,17,0,76,390,635,4,2,29,135,1,2,3
อุบลราชธานี,2,เขื่องใน,แดงหม้อ,2.0,62,0,0,17,0,66,400,666,7,4,35,168,2,0,4
อุบลราชธานี,2,เขื่องใน,แดงหม้อ,3.0,25,0,0,9,0,22,130,218,1,2,5,52,1,0,2
อุบลราชธานี,2,เขื่องใน,แดงหม้อ,4.0,27,1,0,5,0,2,170,282,3,2,13,61,0,0,3
อุบลราชธานี,2,เขื่องใน,แดงหม้อ,5.0,74,1,0,11,0,35,265,405,4,4,9,97,1,1,2
อุบลราชธานี,2,เขื่องใน,แดงหม้อ,6.0,51,0,0,4,0,46,199,338,2,0,6,58,0,0,1
อุบลราชธานี,2,เขื่องใน,โนนรัง,1.0,77,0,0,12,0,51,338,538,1,1,18,139,5,1,0
อุบลราชธานี,2,เขื่องใน,โนนรัง,2.0,146,0,1,24,2,74,574,924,3,5,48,219,4,2,1
อุบลราชธานี,2,เขื่องใน,โนนรัง,3.0,75,0,0,10,0,69,319,513,3,4,12,113,2,0,0
อุบลราชธานี,2,เขื่องใน,โนนรัง,4.0,84,0,0,5,0,54,355,595,6,4,25,127,4,5,3
อุบลราชธานี,2,เขื่องใน,โนนรัง,5.0,34,0,1,6,0,23,211,344,2,0,41,75,0,1,0
อุบลราชธานี,2,เขื่องใน,โนนรัง,6.0,30,1,0,2,0,6,89,123,2,1,10,34,1,0,1
อุบลราชธานี,2,เขื่องใน,โนนรัง,7.0,57,0,1,15,0,78,339,525,6,1,42,92,4,1,5
อุบลราชธานี,2,เมืองอุบลราชธานี,ขี้เหล็ก,1.0,115,1,0,18,3,30,331,417,1,2,24,103,4,1,6
อุบลราชธานี,2,เมืองอุบลราชธานี,ขี้เหล็ก,10.0,49,0,1,5,0,9,181,216,1,1,10,96,0,0,1
อุบลราชธานี,2,เมืองอุบลราชธานี,ขี้เหล็ก,11.0,99,0,1,1,0,8,271,336,3,4,19,102,8,1,3
อุบลราชธานี,2,เมืองอุบลราชธานี,ขี้เหล็ก,2.0,176,1,0,19,0,38,484,625,2,1,24,171,3,7,5
อุบลราชธานี,2,เมืองอุบลราชธานี,ขี้เหล็ก,3.0,115,1,1,16,0,21,434,149,3,7,21,188,6,1,5
