province,province_number,district,subdistrict,station_number,เขต_กรีน,เขต_ก้าวไกล,เขต_ครูไทยเพื่อประชาช,เขต_คลองไทย,เขต_ความหวังใหม่,เขต_ชาติพัฒนากล้า,เขต_ชาติรุ่งเรือง,เขต_ชาติไทยพัฒนา,เขต_ช่วยชาติ,เขต_ถิ่นกาขาวชาววิไล,เขต_ทางเลือกใหม่,เขต_ท้องที่ไทย,เขต_บัตรเสีย,เขต_ประชากรไทย,เขต_ประชาชาติ,เขต_ประชาธิปัตย์,เขต_ประชาธิปไตยใหม่,เขต_ประชาภิวัฒน์,เขต_ประชาสามัคคี,เขต_ประชาไทย,เขต_ผู้มาใช้สิทธิ์,เขต_ผู้มีสิทธิ์,เขต_พลัง,เขต_พลังธรรมใหม่,เขต_พลังบูรพา,เขต_พลังประชาธิปไตย,เขต_พลังประชารัฐ,เขต_พลังปวงชนไทย,เขต_พลังสยาม,เขต_พลังสหกรณ์,เขต_พลังสังคม,เขต_พลังสังคมใหม่,เขต_พลังเพื่อไทย,เขต_พลังไทยรักชาติ,เขต_ภราดรภาพ,เขต_ภาคีเครือข่ายไทย,เขต_ภูมิใจไทย,เขต_มิติใหม่,เขต_รวมพลัง,เขต_รวมแผ่นดิน,เขต_รวมใจไทย,เขต_รวมไทยสร้างชาติ,เขต_รักษ์ธรรม,เขต_รักษ์ผืนป่าประเทศ,เขต_ราษฎร์วิถี,เขต_สังคมประชาธิปไตยไ,เขต_สามัญชน,เขต_อนาคตไทย,เขต_เปลี่ยน,เขต_เปลี่ยนอนาคต,เขต_เป็นธรรม,เขต_เพื่อชาติ,เขต_เพื่อชาติไทย,เขต_เพื่ออนาคตไทย,เขต_เพื่อไทย,เขต_เพื่อไทรวมพลัง,เขต_เสมอภาค,เขต_เสรีรวมไทย,เขต_เส้นด้าย,เขต_แนวทางใหม่,เขต_แผ่นดินธรรม,เขต_แรงงานสร้างชาติ,เขต_ใหม่,เขต_ไทยก้าวหน้า,เขต_ไทยชนะ,เขต_ไทยธรรม,เขต_ไทยพร้อม,เขต_ไทยภักดี,เขต_ไทยรวมไทย,เขต_ไทยศรีวิไลย์,เขต_ไทยสมาร์ท,เขต_ไทยสร้างไทย,เขต_ไทยเป็นหนึ่ง,เขต_ไม่เลือกผู้ใด
อุบลราชธานี,2,เขื่องใน,ท่าไห,10.0,,47.0,,0.0,,,,,,,,,24,,,132,,,,,333,689,,,,,4,0.0,,,,,,,,,1.0,,,,,0,,,,,,,,,,,,,122,,,1,,,,,,,,,,1.0,,0.0,,,,1
อุบลราชธานี,2,เขื่องใน,ท่าไห,11.0,,27.0,,1.0,,,,,,,,,16,,,122,,,,,292,592,,,,,11,1.0,,,,,,,,,2.0,,,,,0,,,,,,,,,,,,,104,,,1,,,,,,,,,,1.0,,1.0,,,,5
อุบลราชธานี,2,เขื่องใน,ท่าไห,12.0,,26.0,,0.0,,,,,,,,,22,,,74,,,,,260,645,,,,,3,1.0,,,,,,,,,2.0,,,,,0,,,,,,,,,,,,,124,,,1,,,,,,,,,,0.0,,3.0,,,,4
อุบลราชธานี,2,เขื่องใน,ท่าไห,13.0,,32.0,,0.0,,,,,,,,,15,,,66,,,,,235,460,,,,,4,0.0,,,,,,,,,1.0,,,,,0,,,,,,,,,,,,,110,,,2,,,,,,,,,,1.0,,2.0,,,,2
อุบลราชธานี,2,เขื่องใน,ท่าไห,2.0,,13.0,,1.0,,,,,,,,,7,,,58,,,,,139,290,,,,,2,0.0,,,,,,,,,1.0,,,,,0,,,,,,,,,,,,,54,,,0,,,,,,,,,,0.0,,3.0,,,,0
อุบลราชธานี,2,เขื่องใน,ท่าไห,3.0,,22.0,,1.0,,,,,,,,,12,,,119,,,,,250,545,,,,,5,0.0,,,,,,,,,3.0,,,,,0,,,,,,,,,,,,,84,,,1,,,,,,,,,,0.0,,1.0,,,,2
อุบลราชธานี,2,เขื่องใน,ท่าไห,4.0,,34.0,,1.0,,,,,,,,,24,,,111,,,,,246,619,,,,,6,0.0,,,,,,,,,0.0,,,,,0,,,,,,,,,,,,,67,,,0,,,,,,,,,,0.0,,2.0,,,,1
อุบลราชธานี,2,เขื่องใน,ท่าไห,5.0,,29.0,,0.0,,,,,,,,,34,,,101,,,,,329,571,,,,,7,1.0,,,,,,,,,1.0,,,,,0,,,,,,,,,,,,,147,,,2,,,,,,,,,,1.0,,2.0,,,,4
อุบลราชธานี,2,เขื่องใน,ท่าไห,6.0,,36.0,,1.0,,,,,,,,,20,,,95,,,,,310,604,,,,,5,0.0,,,,,,,,,3.0,,,,,0,,,,,,,,,,,,,148,,,2,,,,,,,,,,0.0,,0.0,,,,0
อุบลราชธานี,2,เขื่องใน,ท่าไห,7.0,,25.0,,0.0,,,,,,,,,12,,,103,,,,,233,514,,,,,7,1.0,,,,,,,,,1.0,,,,,0,,,,,,,,,,,,,82,,,1,,,,,,,,,,0.0,,1.0,,,,0
